bug_id,hunk_count,pair_count,avg_lexical,avg_ast,avg_file,avg_divergence
Chart_14,4,6,0.0,0.845633,0.2222,0.0
Chart_18,3,3,0.9415,0.900267,0.266667,0.597933
Cli_13,3,3,0.9466,1.0,0.375,0.5522
Cli_16,6,15,0.932773,0.880847,0.308333,0.474387
Cli_21,6,15,0.945547,0.796913,0.275,0.46524
Cli_30,2,1,0.0654,1.0,0.25,0.0327
Cli_31,3,3,0.848367,1.0,0.25,0.4242
Cli_34,2,1,0.702,1.0,0.25,0.351
Cli_36,3,3,0.806433,0.786933,0.166667,0.357233
Closure_103,2,1,1.0,1.0,0.3333,0.5556
Closure_106,2,1,0.9834,1.0,0.5,0.6556
Closure_110,6,15,0.959347,0.562147,0.166667,0.43332
Closure_134,6,15,0.950553,0.70672,0.1111,0.53094
Closure_135,3,3,0.952467,0.853833,0.380933,0.632067
Closure_136,2,1,0.9883,1.0,0.3333,0.549
Closure_137,10,45,0.947084,0.737796,0.170353,0.483809
Closure_138,3,3,0.9831,0.826467,0.2222,0.5208
Closure_141,3,3,0.966633,0.733333,0.2222,0.425133
Closure_142,3,3,0.9877,0.764633,0.285733,0.503033
Closure_143,2,1,0.944,1.0,0.3333,0.5244
Closure_144,9,36,0.961917,0.896769,0.341247,0.594503
Closure_147,2,1,0.9552,1.0,0.3333,0.5307
Closure_148,16,120,0.96274,0.284355,0.041663,0.223533
Closure_149,7,21,0.976881,0.879395,0.269814,0.507724
Closure_153,12,66,0.871215,0.740912,0.1616,0.454244
Closure_154,6,15,0.90744,0.81816,0.19998,0.49998
Closure_155,7,21,0.9812,0.784019,0.238071,0.457105
Closure_157,7,21,0.911971,0.912343,0.299324,0.554019
Closure_158,11,55,0.965973,0.751851,0.18786,0.485324
Closure_162,6,15,0.95796,0.722867,0.1111,0.557507
Closure_163,18,153,0.949442,0.324239,0.037033,0.259035
Closure_165,10,45,0.960631,0.840644,0.203164,0.48538
Closure_167,6,15,0.9288,0.729333,0.190467,0.587267
Closure_169,21,210,0.93626,0.864309,0.221758,0.462433
Closure_171,2,1,0.9439,1.0,0.3333,0.5244
Closure_173,2,1,0.9496,1.0,0.3333,0.5275
Closure_174,7,21,0.961024,0.832005,0.2222,0.514176
Closure_30,4,6,0.987067,0.81815,0.16665,0.588533
Closure_34,3,3,0.984267,0.905267,0.2222,0.5995
Closure_37,2,1,0.8992,1.0,0.4286,0.5567
Closure_47,2,1,0.9346,1.0,0.6667,0.7269
Closure_54,3,3,0.978033,0.884333,0.380933,0.678367
Closure_72,2,1,0.9845,1.0,0.3333,0.547
Closure_79,2,1,0.9748,1.0,0.3333,0.5416
Closure_89,2,1,0.9512,1.0,0.3333,0.5284
Closure_90,2,1,0.9422,1.0,0.5714,0.673
Codec_1,3,3,0.6503,1.0,0.25,0.325133
Codec_13,3,3,0.995467,0.832067,0.2222,0.533267
Codec_14,5,10,0.98251,0.81611,0.14,0.43532
Codec_8,2,1,0.9753,1.0,0.25,0.4876
Compress_29,14,91,0.595053,0.953485,0.268132,0.303858
Compress_33,3,3,0.9816,0.745133,0.2,0.424967
Compress_4,4,6,0.47375,1.0,0.35,0.271617
Compress_42,2,1,0.988,1.0,0.2,0.461
Csv_13,2,1,0.9594,1.0,0.25,0.4797
Gson_4,12,66,0.550091,0.633358,0.067333,0.213648
Gson_9,3,3,0.713233,1.0,0.333333,0.388467
JacksonCore_1,3,3,0.914233,0.838067,0.2222,0.4971
JacksonCore_12,8,28,0.744004,0.630096,0.05555,0.370579
JacksonCore_18,4,6,0.832433,0.866967,0.259233,0.401433
JacksonCore_19,2,1,0.0,1.0,0.2222,0.0
JacksonCore_2,8,28,0.661657,0.767804,0.119036,0.320957
JacksonCore_24,4,6,0.74185,0.7755,0.148133,0.3642
JacksonCore_9,6,15,0.0,0.912147,0.237013,0.0
JacksonDatabind_10,5,10,0.85759,0.69204,0.08888,0.40949
JacksonDatabind_103,26,325,0.89295,0.983726,0.313058,0.490655
JacksonDatabind_109,5,10,0.90443,0.80163,0.12,0.43632
JacksonDatabind_111,9,36,0.626725,0.969264,0.230556,0.310328
JacksonDatabind_13,2,1,0.0,1.0,0.3,0.0
JacksonDatabind_15,11,55,0.904573,0.826704,0.175151,0.478338
JacksonDatabind_22,12,66,0.880226,0.647262,0.067333,0.434782
JacksonDatabind_25,4,6,0.6632,1.0,0.348133,0.379483
JacksonDatabind_30,6,15,0.901867,0.73292,0.17776,0.441413
JacksonDatabind_38,6,15,0.862613,0.912487,0.17776,0.43248
JacksonDatabind_48,2,1,0.3295,1.0,0.25,0.1647
JacksonDatabind_52,2,1,0.9815,1.0,0.3,0.5235
JacksonDatabind_53,7,21,0.957381,0.655543,0.10581,0.39159
JacksonDatabind_59,4,6,0.811267,1.0,0.27775,0.419533
JacksonDatabind_61,3,3,0.366867,0.8599,0.266667,0.220133
JacksonDatabind_65,3,3,0.932367,0.907867,0.266667,0.5927
JacksonDatabind_73,4,6,0.983933,0.828033,0.148133,0.4745
JacksonDatabind_79,4,6,0.938417,0.833333,0.274067,0.426817
JacksonDatabind_90,2,1,0.7994,1.0,0.3,0.4264
JacksonDatabind_95,4,6,0.607283,0.826583,0.1111,0.346383
Jsoup_14,2,1,0.9811,1.0,0.2857,0.5139
Jsoup_21,3,3,0.908267,0.9068,0.190467,0.527733
Jsoup_22,6,15,0.781007,0.848733,0.257147,0.41886
Jsoup_23,2,1,0.9999,1.0,0.2857,0.5238
Jsoup_28,6,15,0.969127,0.826667,0.295253,0.51798
Jsoup_3,13,78,0.944545,0.767656,0.252754,0.444545
Jsoup_31,3,3,0.977967,1.0,0.2857,0.512267
Jsoup_52,4,6,0.990983,0.943867,0.357167,0.620767
Jsoup_56,10,45,0.951438,0.891511,0.304773,0.535969
Jsoup_58,4,6,0.974467,0.869683,0.357167,0.536583
Jsoup_60,2,1,0.9504,1.0,0.4286,0.5883
Jsoup_63,5,10,0.92852,0.70906,0.11428,0.48639
Jsoup_65,3,3,0.728467,0.878433,0.190467,0.399133
Jsoup_71,3,3,0.982267,0.779067,0.190467,0.4523
Jsoup_83,4,6,0.892533,0.825467,0.14285,0.50525
Jsoup_87,47,1081,0.843839,0.746349,0.162278,0.404371
Jsoup_91,3,3,0.9447,0.738433,0.285733,0.455767
Jsoup_92,8,28,0.972864,0.840189,0.306136,0.505407
JxPath_1,2,1,0.9589,1.0,0.3,0.5114
JxPath_11,5,10,0.92331,0.83928,0.18,0.51819
JxPath_13,11,55,0.934353,0.682496,0.203636,0.450727
JxPath_16,2,1,0.8306,1.0,0.3,0.443
JxPath_17,5,10,0.96757,0.84529,0.18,0.54728
JxPath_19,3,3,0.827733,0.8695,0.2,0.461667
JxPath_4,7,21,0.931729,0.69359,0.171429,0.395981
JxPath_7,7,21,0.674348,0.882152,0.190457,0.281219
JxPath_9,5,10,0.8489,0.80136,0.15554,0.36694
Math_1,2,1,0.0,1.0,0.2222,0.0
Math_14,2,1,0.6116,1.0,0.25,0.3058
Math_22,2,1,0.5843,1.0,0.2222,0.2813
Math_4,2,1,0.2581,1.0,0.2727,0.1329
Math_6,12,66,0.835806,0.955776,0.279038,0.440056
Math_71,2,1,0.1994,1.0,0.2,0.0931
Math_77,2,1,0.9048,1.0,0.2222,0.4357
Math_98,2,1,0.4514,1.0,0.25,0.2257
Mockito_14,4,6,0.89345,0.859733,0.266667,0.529283
Mockito_16,3,3,0.911567,0.937567,0.4,0.694533
Mockito_17,4,6,0.962283,0.82845,0.333333,0.587883
Mockito_19,9,36,0.917928,0.934214,0.243056,0.478214
Mockito_30,2,1,0.9475,1.0,0.7143,0.767
Time_1,2,1,1.0,1.0,0.375,0.5833
Time_12,4,6,0.648433,0.802533,0.190467,0.302017
Time_2,3,3,0.943067,0.938933,0.25,0.620567
Time_26,8,28,0.472111,0.808121,0.174107,0.294782
